Performance,All trades,Long trades,Short trades,
Total net profit,$17990.00,$8620.00,$9370.00,
Gross profit,$19120.00,$9750.00,$9370.00,
Gross loss,-$1130.00,-$1130.00,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,16.92,8.63,99.00,
Max. drawdown,-$840.00,-$840.00,$0.00,
Sharpe ratio,0.81,0.86,0.62,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.91,0.88,0.82,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.03%,0.28%,0.93%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,14,9,5,
Percent profitable,85.71%,77.78%,100.00%,
# of winning trades,12,7,5,
# of losing trades,2,2,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$1285.00,$957.78,$1874.00,
Avg. winning trade,$1593.33,$1392.86,$1874.00,
Avg. losing trade,-$565.00,-$565.00,$0.00,
Ratio avg. win / avg. loss,2.82,2.47,1874.00,
,,,,
Max. consec. winners,7,5,5,
Max. consec. losers,1,1,0,
Largest winning trade,$3140.00,$1830.00,$3140.00,
Largest losing trade,-$840.00,-$840.00,$0.00,
,,,,
Avg. # of trades per day,0.09,0.06,0.04,
Avg. time in market,181.82 min,158.10 min,224.50 min,
Avg. bars in trade,36.00,31.22,44.60,
Profit per month,$2449.53,$1173.71,$1578.92,
Max. time to recover,15.96 days,15.96 days,0.19 days,
Longest flat period,66.73 days,73.72 days,94.81 days,
,,,,
Avg. MAE,$327.86,$322.22,$338.00,
Avg. MFE,$1492.86,$1095.56,$2208.00,
Avg. ETD,$207.86,$137.78,$334.00,
