Performance,All trades,Long trades,Short trades,
Total net profit,$7525.00,$6150.00,$1375.00,
Gross profit,$7525.00,$6150.00,$1375.00,
Gross loss,$0.00,$0.00,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,99.00,99.00,99.00,
Max. drawdown,$0.00,$0.00,$0.00,
Sharpe ratio,0.92,0.76,0.48,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.92,0.95,1.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.01%,0.04%,12.17%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,15/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,10,8,2,
Percent profitable,100.00%,100.00%,100.00%,
# of winning trades,10,8,2,
# of losing trades,0,0,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$752.50,$768.75,$687.50,
Avg. winning trade,$752.50,$768.75,$687.50,
Avg. losing trade,$0.00,$0.00,$0.00,
Ratio avg. win / avg. loss,752.50,768.75,687.50,
,,,,
Max. consec. winners,10,8,2,
Max. consec. losers,0,0,0,
Largest winning trade,$1787.50,$1787.50,$1262.50,
Largest losing trade,$0.00,$0.00,$0.00,
,,,,
Avg. # of trades per day,0.05,0.04,0.02,
Avg. time in market,375.00 min,372.50 min,385.00 min,
Avg. bars in trade,35.80,35.13,38.50,
Profit per month,$862.83,$705.17,$223.07,
Max. time to recover,0.23 days,0.23 days,0.26 days,
Longest flat period,104.73 days,135.74 days,186.73 days,
,,,,
Avg. MAE,$320.00,$318.75,$325.00,
Avg. MFE,$990.00,$1042.19,$781.25,
Avg. ETD,$237.50,$273.44,$93.75,
