Performance,All trades,Long trades,Short trades,
Total net profit,$18287.50,$11475.00,$6812.50,
Gross profit,$21500.00,$13625.00,$7875.00,
Gross loss,-$3212.50,-$2150.00,-$1062.50,
Commission,$0.00,$0.00,$0.00,
Profit factor,6.69,6.34,7.41,
Max. drawdown,-$1100.00,-$1100.00,-$762.50,
Sharpe ratio,1.10,1.02,0.81,
Sortino ratio,7.75,3.18,3.48,
Ulcer index,0.00,0.00,0.00,
R squared,0.97,0.93,0.79,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.00%,0.17%,0.41%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,30,19,11,
Percent profitable,80.00%,78.95%,81.82%,
# of winning trades,24,15,9,
# of losing trades,6,4,2,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$609.58,$603.95,$619.32,
Avg. winning trade,$895.83,$908.33,$875.00,
Avg. losing trade,-$535.42,-$537.50,-$531.25,
Ratio avg. win / avg. loss,1.67,1.69,1.65,
,,,,
Max. consec. winners,8,6,7,
Max. consec. losers,2,2,1,
Largest winning trade,$3075.00,$3075.00,$1625.00,
Largest losing trade,-$737.50,-$737.50,-$675.00,
,,,,
Avg. # of trades per day,0.14,0.09,0.06,
Avg. time in market,255.72 min,290.79 min,195.13 min,
Avg. bars in trade,45.27,51.11,35.18,
Profit per month,$1805.08,$1132.65,$814.83,
Max. time to recover,33.90 days,37.24 days,26.73 days,
Longest flat period,32.71 days,42.71 days,70.98 days,
,,,,
Avg. MAE,$219.17,$223.03,$212.50,
Avg. MFE,$870.83,$882.24,$851.14,
Avg. ETD,$261.25,$278.29,$231.82,
