Performance,All trades,Long trades,Short trades,
Total net profit,$14935.00,$2315.00,$12620.00,
Gross profit,$16965.00,$2315.00,$14650.00,
Gross loss,-$2030.00,$0.00,-$2030.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,8.36,99.00,7.22,
Max. drawdown,-$775.00,$0.00,-$775.00,
Sharpe ratio,0.49,0.60,0.45,
Sortino ratio,10.14,1.00,7.07,
Ulcer index,0.00,0.00,0.00,
R squared,0.84,0.97,0.72,
Total Fees,$0.00,$0.00,$0.00,
Probability,2.99%,0.42%,4.17%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,15/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,14,4,10,
Percent profitable,78.57%,100.00%,70.00%,
# of winning trades,11,4,7,
# of losing trades,3,0,3,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$1066.79,$578.75,$1262.00,
Avg. winning trade,$1542.27,$578.75,$2092.86,
Avg. losing trade,-$676.67,$0.00,-$676.67,
Ratio avg. win / avg. loss,2.28,578.75,3.09,
,,,,
Max. consec. winners,8,4,5,
Max. consec. losers,1,0,1,
Largest winning trade,$7700.00,$1000.00,$7700.00,
Largest losing trade,-$775.00,$0.00,-$775.00,
,,,,
Avg. # of trades per day,0.08,0.03,0.06,
Avg. time in market,292.50 min,348.75 min,270.00 min,
Avg. bars in trade,19.50,23.25,18.00,
Profit per month,$1706.06,$346.12,$1552.06,
Max. time to recover,25.00 days,0.24 days,81.18 days,
Longest flat period,55.94 days,163.76 days,74.93 days,
,,,,
Avg. MAE,$477.86,$435.00,$495.00,
Avg. MFE,$1485.36,$880.00,$1727.50,
Avg. ETD,$418.57,$301.25,$465.50,
